size,A_to_B_mean,A_to_B_median,A_to_B_p90,A_to_B_p95,A_to_B_max,B_to_A_mean,B_to_A_median,B_to_A_p90,B_to_A_p95,B_to_A_max,Chamfer_mean,Hausdorff_max
230,0.2232301696607636,0.19396520795400018,0.374765845000312,0.43099655009487636,0.6496597653763644,0.21877119373307066,0.1916862286778424,0.3648276409727522,0.4118824131075182,0.6496597653763644,0.2210006816969171,0.6496597653763644
235,0.9877276001969482,0.7958377991648871,1.872653751736372,2.713942330248522,3.208858440723454,0.992530078174947,0.7960761486527277,1.9784104915151572,2.7733868097903023,3.208858440723454,0.9901288391859475,3.208858440723454
245,1.1185653602637833,1.0838102133136278,1.9989010032116399,2.1906333592816787,2.874208318035109,1.1301718354145227,1.0967866372911876,2.015159599441666,2.193543795854572,2.874208318035109,1.1243685978391529,2.874208318035109
250,0.9742452042468677,0.8357417208857101,2.1083696706454265,2.388177070511498,2.6451956957153606,0.9935384571535703,0.860854328145841,2.1449653005022546,2.398720135189145,2.6455351459143706,0.9838918307002189,2.6455351459143706
255,0.7695040792811052,0.5660365355865244,1.6681233608987593,1.8848379530567607,2.3708016934147262,0.7560439015770988,0.5377640076718726,1.6659294783553753,1.8827862468789964,2.368750105256317,0.762773990429102,2.3708016934147262
260,0.9945112684602976,0.7822684950430472,2.260745572161005,2.5896177127429425,2.804160057677803,1.0148999557971186,0.7944894729368954,2.3169709964438097,2.6089375423471437,2.804160057677803,1.0047056121287081,2.804160057677803
265,1.5136461212362835,1.096333258941931,3.4763879772805466,3.9331836321709504,4.71806575520448,1.5003467924943874,1.0478678528237233,3.4965693193620657,3.9283955974054066,4.71806575520448,1.5069964568653353,4.71806575520448
270,1.4458948630633073,1.4229300506126097,2.5420244280941353,3.726720315434054,4.541981143206128,1.4762913137962723,1.4542050472087649,2.552541755413436,3.80698897616826,4.54252560067096,1.4610930884297897,4.54252560067096
275,1.3776240909063677,0.8871211269768873,3.02260386957814,4.092392036181815,5.2259403667191,1.3799868712460042,0.8800360077279772,3.026675745511674,4.062041968148626,5.2259403667191,1.3788054810761858,5.2259403667191
280,1.1507793827674808,0.8383214516494584,2.2388259438308427,2.9957721101666515,3.967202521111487,1.1791423682406135,0.8722499670454595,2.252519592841564,3.0375965925229176,3.967202521111487,1.1649608755040473,3.967202521111487
