size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25
230,50.678909,232.005989,43.597643,233.635916,24.299946,229.283954,14.777224,205.28206,13.799711,182.233089,10.407866,158.601869,7.419861,134.512176,2.989675,111.736344,0,87.582297,0.22745,65.348965,5.936287,42.85284,13.922036,18.993632,32.723863,0,59.946091,3.957377,72.511874,27.25115,76.459542,50.34477,77.734788,74.770434,75.594286,97.748873,78.473396,121.821609,75.500585,144.672647,74.638126,168.44669,74.541297,193.161528,70.469183,216.403436,59.530787,231.141401,50.23642,231.930531
250,55.120803,252.954539,47.902303,254.957524,26.882866,248.8495,17.476342,222.71179,16.139306,197.60116,12.017377,172.034648,8.209761,147.081394,3.374323,121.562884,0,95.359535,0.083229,69.153305,5.294216,45.346655,15.154314,19.248607,36.382286,0,66.289778,5.886151,79.297672,31.397844,80.731184,57.182653,81.7108,83.401448,80.44242,108.995819,80.532939,134.775062,81.359476,160.605094,81.108535,185.722284,81.260235,211.199209,79.544121,237.240744,64.213189,252.04968,55.265315,252.895514
270,55.36773,275.69122,46.302392,276.636223,26.346012,266.504638,22.254851,236.399668,18.268867,209.931623,14.955841,181.887683,10.616692,154.915643,4.744492,126.771313,0,99.682296,3.597299,71.713644,11.883579,45.464271,23.198653,19.24976,49.717551,0,76.992396,15.834457,86.332739,44.343517,88.172398,71.226472,84.529154,99.403108,84.20571,126.246324,85.545454,154.087187,86.816565,180.747731,88.027118,208.595728,85.297444,235.800342,84.200389,264.380538,64.958487,276.327295,55.287574,274.99313
230,51.753587,234.230581,43.392165,235.34741,27.668307,224.98677,21.244138,201.130001,19.633628,177.865626,15.827012,154.335625,9.304985,131.373312,3.590588,108.590918,0,84.802945,1.757151,61.202786,8.19925,38.076657,18.047698,14.82792,40.452201,0,64.704026,11.832088,73.373252,36.456918,78.133998,58.281776,77.550855,82.799805,75.356925,105.929589,72.707234,129.518729,72.621469,152.871018,75.596691,177.07459,78.450884,199.383494,76.194072,224.049553,59.264607,234.995718,51.98486,233.833906
250,54.961872,254.881358,46.820466,256.23105,28.968271,245.395865,21.837478,219.206681,18.956627,194.553993,14.87862,169.144577,8.71637,144.250291,3.005849,119.299461,0,93.749252,1.033061,67.030561,7.459754,42.621115,18.848766,17.609587,42.293076,0,69.096298,13.412036,77.570887,39.758694,82.808513,63.641336,83.201407,89.116104,79.713782,114.607917,77.216704,139.94999,78.340488,164.981955,80.098384,190.867473,83.818218,216.289526,81.096021,243.005639,63.423276,255.586543,54.774703,254.486745
270,58.043368,275.548941,49.008989,276.382916,30.378591,262.490124,25.746905,235.047721,22.866214,206.120139,17.656219,179.639316,11.84035,152.353761,4.011092,126.393498,0,98.423899,2.980963,70.912798,10.60527,44.817867,21.771776,17.199633,48.679359,0,75.618458,16.344067,84.737292,44.750388,89.467032,72.030792,87.600196,99.748817,84.622612,125.760018,81.474293,153.076211,82.629263,181.605237,85.738783,206.923665,89.672918,235.123237,86.058747,262.580467,67.820902,277.187122,58.064166,274.821878
230,61.946204,232.726307,54.058489,234.429415,36.64417,225.317634,30.909829,200.428556,25.916759,177.886747,20.935672,153.868122,13.462496,131.142469,4.610613,108.717995,0,84.616402,1.262902,61.104911,7.205865,36.717339,19.44487,14.019094,41.665905,0,68.377035,5.944549,77.579647,31.650973,82.535307,53.695911,85.100343,78.328661,74.237158,101.549497,68.928982,125.213984,71.109687,148.657681,78.325146,171.629047,84.440315,195.14788,84.25464,218.850878,70.384774,233.17411,61.781536,232.386673
250,63.501422,253.582957,54.895993,255.286377,36.566278,245.241753,32.106893,217.784377,26.399715,193.043497,21.517398,166.917744,14.191023,141.995064,5.467872,117.895643,0,92.952821,0.28469,67.235258,6.316747,41.722809,20.128715,17.870035,43.577006,0,72.319658,8.689637,81.382752,36.426977,84.791827,61.378974,88.255093,88.298996,76.233232,112.503585,67.832921,138.155486,72.032273,163.919862,79.454782,189.003528,85.733752,213.333193,88.522107,239.391844,72.928566,254.729081,62.712417,253.004687
270,66.907159,274.721458,57.443671,276.172265,38.565051,263.769633,33.374042,235.422512,29.232278,208.557659,23.239919,181.842051,15.515939,154.726881,7.995695,128.377039,0,101.293378,0.389164,73.63724,7.993342,46.298569,21.255119,20.199081,46.012413,0,77.286649,10.712581,85.06784,40.404383,89.770748,66.189504,93.928463,94.742548,79.062486,121.343421,73.803464,148.785668,76.546905,177.645038,85.390004,204.099771,91.667429,230.787005,93.607003,259.380299,77.205417,275.49837,66.250288,273.840443
230,50.599541,233.176794,43.70328,234.650069,26.004074,225.891285,20.089321,202.01575,17.221158,178.205674,14.070508,153.784911,8.402741,130.504015,3.283195,106.801667,0,82.378337,0.776403,59.545337,5.789807,36.626691,16.772633,13.367224,39.62487,0,64.818748,8.000134,75.56081,32.794343,79.72925,55.037463,78.923305,79.800417,76.042117,103.459984,72.966733,128.36663,74.917177,152.768147,77.904349,176.368375,80.315664,199.556284,75.950298,223.201598,57.788369,233.685502,51.023279,232.680507
