size, x1, y1, x2, y2, x3, y3, x4, y4, x5, y5, x6, y6, x7, y7, x8, y8, x9, y9, x10, y10, x11, y11, x12, y12, x13, y13, x14, y14, x15, y15, x16, y16, x17, y17, x18, y18, x19, y19, x20, y20, x21, y21, x22, y22, x23, y23, x24, y24, x25, y25, x26, y26, x27, y27, x28, y28, x29, y29, x30, y30, x31, y31, x32, y32, x33, y33, x34, y34, x35, y35, x36, y36, x37, y37, x38, y38, x39, y39, x40, y40
230,50.658288,230.665801,46.111824,231.795282,36.028161,230.736704,23.153629,223.003652,16.303641,209.041775,14.882281,195.482309,13.140907,181.279077,11.788454,167.731061,9.848429,153.124439,7.997652,139.353888,5.643863,125.063559,3.255843,111.465095,1.204497,97.620753,0,83.204959,0.122112,69.977403,2.015899,56.90965,5.252349,43.199554,10.206813,29.285721,16.020086,15.847184,27.229492,4.616682,41.008097,0,55.348801,3.046671,66.888697,14.156389,71.787655,27.829381,74.762751,41.141328,77.010295,56.251535,77.361847,69.566962,76.194115,84.473849,76.202214,97.352594,77.444785,112.594916,77.234781,125.459565,76.032237,140.28005,75.068851,153.120828,74.382079,168.285369,74.605162,182.244655,73.383838,196.984778,70.636783,210.603927,64.106125,224.210247,55.357358,230.551035,50.436895,230.190824
250,55.296849,250.731103,50.108784,251.197452,40.218931,251.129183,25.53848,240.472424,19.290016,226.311018,17.308129,210.688442,15.627618,195.852595,13.730868,180.671088,11.371134,165.788405,9.07679,150.362115,6.339921,136.082316,3.683022,120.368901,1.50216,104.885127,0,89.560578,0.107796,73.799537,1.618804,59.111292,5.186104,44.597503,10.132349,29.596529,17.944462,15.366246,30.064851,2.949944,45.591454,0,61.254143,3.826115,73.698049,15.494134,77.958189,31.496435,80.243954,46.124024,81.132298,62.085815,81.3299,77.251509,80.94337,92.944716,80.545609,107.795228,80.427003,123.471522,80.670695,138.706611,80.993609,153.667414,81.299535,169.472218,81.078167,183.841736,80.911018,199.064633,81.111234,214.667797,78.831501,229.586139,70.586238,244.177743,60.223597,250.209564,55.438869,250.242008
260,55.904673,261.208236,50.863607,261.395431,39.636869,258.566302,28.6926,244.872442,23.854857,229.635006,21.491477,213.805065,18.697149,197.940142,15.8381,182.972283,12.533115,167.13424,9.756499,152.498415,6.763051,137.883271,3.800527,121.301015,1.626549,106.893079,0,90.588435,0.761495,74.555878,4.515438,58.687526,9.568203,43.657099,16.019043,28.320018,24.060449,13.721637,38.272952,2.313736,52.998778,0,70.060452,5.623727,77.036269,21.738848,82.0608,37.291816,85.405714,52.434986,86.392137,69.083125,84.486039,84.515181,82.9554,100.251492,82.637125,116.207099,82.877337,131.056487,83.857576,147.71786,85.041383,163.188362,85.77586,179.329689,86.024807,194.777992,85.092864,211.601364,85.198655,227.878057,83.081697,243.243225,71.882122,257.693209,61.125221,260.599843,56.024946,261.402543
270,54.574092,271.425858,49.150264,271.418818,37.694675,269.063555,25.4566,255.614039,22.388426,238.666426,19.833737,222.056949,17.654411,205.977648,15.63228,189.7193,13.319843,172.977109,10.902062,157.225159,7.750664,140.495376,4.214689,123.871218,1.493581,107.882776,0,91.426829,1.707754,74.636346,5.754974,59.117755,10.339457,42.962104,16.896435,27.74088,26.306558,12.680069,40.430956,2.278956,57.649762,0,71.967806,10.391211,80.905112,25.564899,85.157107,41.841381,86.876753,57.928565,86.17818,74.608505,84.411857,91.308757,83.555219,106.844121,83.602763,123.851252,84.223232,139.61811,85.047811,156.278731,85.846983,171.926966,86.551292,188.473917,86.610369,204.818342,85.886728,221.02561,84.057536,237.830505,82.814556,253.796212,71.980933,268.180655,59.819465,270.778206,54.956137,271.272937
290,57.22229,291.628341,52.056147,291.822158,38.209296,289.791265,28.050055,273.032569,23.332773,255.846566,19.879808,238.151733,18.255937,221.118553,16.139961,202.637457,14.313536,187.192935,11.291476,170.47947,7.354392,152.048221,3.477838,133.331906,0.937152,116.701825,0,98.772215,1.163411,82.818135,4.010055,64.7526,9.430519,47.757561,16.386726,31.329948,26.353725,15.105776,41.979069,3.076841,59.811976,0,77.259283,10.288757,83.96023,27.617161,89.311497,44.536758,91.425866,62.435562,91.521465,79.145608,90.204301,97.119549,89.205029,113.746596,89.019606,131.368591,89.503922,148.568263,90.334963,166.639184,91.00262,184.285136,91.486235,202.167237,91.162796,219.179226,90.023344,236.779318,88.285537,253.337056,86.553741,270.67824,75.397074,287.175847,62.505948,291.267521,57.755147,291.464881
230,50.220994,231.269751,46.145651,231.2132,36.423797,230.070104,25.07982,218.514781,21.044704,205.043901,18.634714,190.964268,16.793952,176.673042,15.2106,161.986768,12.588095,148.046398,9.385069,134.017245,6.289169,119.892558,3.306088,105.97536,1.029261,91.417288,0,77.130698,0.171502,63.68308,1.967464,49.856322,5.577954,36.266214,10.731081,22.729274,19.584665,9.790673,32.535076,2.584767,46.688074,0,60.872193,5.627844,69.963024,18.432327,74.911805,31.920912,78.08606,45.537952,79.011256,60.059436,78.645639,73.791519,77.166326,88.757438,75.415306,102.801183,73.84883,117.204875,73.03112,132.171382,74.203304,147.042238,75.894197,160.220805,77.691873,175.079155,78.619984,188.77047,79.297664,202.305212,75.505135,216.293058,64.499472,228.01416,54.820297,230.674886,50.335388,231.136869
250,55.56539,251.128548,50.971686,251.156058,39.866496,248.449368,29.031994,235.626253,23.263734,220.915042,20.681688,205.858472,18.183257,191.128556,15.267045,175.81958,12.490135,161.799239,9.388933,146.959289,6.508712,131.777548,3.60094,116.440469,1.564591,101.54294,0.1208,86.393174,0,70.729776,1.502447,55.725535,5.092378,40.828524,11.398987,26.16996,21.210023,12.767207,34.468355,2.194899,49.160669,0,64.476089,7.175964,74.257445,20.873009,78.612737,35.166389,81.920426,50.414161,83.176812,65.639259,82.951091,81.383192,81.774437,96.528905,80.069646,111.641413,78.685758,127.348769,77.979571,142.743157,78.245743,157.530601,78.981462,172.717749,80.260476,188.424498,81.813341,203.092738,83.628424,218.729138,81.749275,233.77062,70.891511,247.69518,60.418897,250.788384,55.422891,251.164104
270,61.980474,271.306077,67.269776,270.352353,78.20965,264.935413,87.033059,248.461869,86.954339,233.523273,85.728481,218.433058,83.633654,201.204676,82.004043,185.583641,80.84473,169.29846,80.632565,152.219251,81.409439,136.335631,83.614735,119.403297,85.658536,103.643556,87.068597,87.837759,86.368449,70.525987,85.272559,55.885845,82.232229,37.979429,76.738622,22.590761,65.951798,7.848274,49.379822,0,32.263104,3.726347,19.202007,16.968409,10.570066,32.25053,4.336707,47.73238,1.22161,64.435092,0,79.065587,0.596052,95.415999,2.371176,112.250222,4.499329,126.861058,7.672236,144.22547,10.800065,160.021305,14.117163,176.776419,17.533729,193.19578,20.487154,209.340485,23.342287,226.488733,25.142884,242.97213,30.294201,259.240542,45.421557,271.242264,55.510114,271.942351,62.214798,271.620612
240,58.654486,241.071723,53.846155,241.245444,44.471178,239.47515,30.69918,228.911065,25.317869,214.558014,23.554456,199.543102,22.436463,185.222742,20.221785,170.839673,17.207248,156.365661,13.761664,142.283601,10.103504,127.820243,6.030008,112.995126,2.84119,99.08246,0,85.165917,0.389622,69.24053,4.117486,54.997537,8.739146,40.787207,14.4434,26.654607,22.300756,12.884827,35.519612,2.937218,49.702148,0,64.251272,3.831741,75.425986,16.164245,80.11079,31.074528,83.000357,45.264783,85.540625,60.475263,84.626506,75.48102,83.132739,88.897074,82.317473,103.227559,82.187588,118.269726,82.697288,133.348818,83.837557,148.129518,84.94169,163.27115,85.331913,177.596812,84.247959,191.616652,81.899179,206.878196,81.705083,221.754006,73.288335,235.888309,63.619012,240.971637,58.742823,240.572909
245,59.805524,245.690118,55.018124,245.962565,43.313036,243.550835,33.884934,230.247386,27.973401,215.62922,23.849002,201.430305,20.731997,186.374356,17.85692,170.75653,14.806173,156.869197,11.370524,141.472183,8.111032,126.5955,4.747479,111.7201,1.647962,97.226385,0,82.123974,1.262794,67.396558,4.522586,52.928533,9.243619,37.670063,15.570567,23.545469,24.836698,9.790623,38.730028,1.091987,53.129568,0,69.080771,4.925297,77.343707,19.566135,80.900153,33.528121,84.98582,48.277006,86.273716,63.082937,86.520804,77.934735,84.876821,93.023248,83.496782,107.686449,82.601651,122.402085,83.487058,136.707574,86.061205,151.796082,86.555323,167.099337,85.535582,181.885256,85.716202,196.95877,85.125729,212.098284,83.54042,227.37582,75.879046,242.513323,64.370902,245.261564,60.19465,245.574236
