sample_index,distance_mm
0,1.785169
1,1.627033
2,1.485942
3,1.317907
4,1.314172
5,1.210131
6,1.137737
7,1.049032
8,1.029738
9,0.979708
10,0.907963
11,0.859970
12,0.858054
13,0.841830
14,0.810539
15,0.765187
16,0.854227
17,0.759692
18,0.721458
19,0.717648
20,0.721312
21,0.754053
22,0.767319
23,0.711166
24,0.702983
25,0.612786
26,0.592868
27,0.470746
28,0.419341
29,0.454724
30,0.433819
31,0.370111
32,0.425355
33,0.290477
34,0.248554
35,0.148381
36,0.270325
37,0.237647
38,0.143649
39,0.117286
40,0.071551
41,0.087408
42,0.079835
43,0.066153
44,0.067485
45,0.082686
46,0.091161
47,0.070401
48,0.036723
49,0.009748
50,0.046307
51,0.076066
52,0.068709
53,0.064437
54,0.064955
55,0.008449
56,0.072012
57,0.041269
58,0.096460
59,0.055861
60,0.063041
61,0.034892
62,0.026526
63,0.079339
64,0.081993
65,0.046216
66,0.111756
67,0.079901
68,0.064630
69,0.073078
70,0.097284
71,0.019183
72,0.128545
73,0.052378
74,0.132326
75,0.158215
76,0.112794
77,0.122651
78,0.220469
79,0.174505
80,0.210417
81,0.168746
82,0.190487
83,0.140148
84,0.226637
85,0.240787
86,0.280783
87,0.165219
88,0.083305
89,0.234817
90,0.270919
91,0.181480
92,0.207967
93,0.108413
94,0.272341
95,0.199565
96,0.113016
97,0.291553
98,0.210295
99,0.138677
100,0.036908
101,0.207756
102,0.289672
103,0.215965
104,0.154241
105,0.148119
106,0.133412
107,0.192934
108,0.120593
109,0.193053
110,0.115912
111,0.199378
112,0.026850
113,0.083988
114,0.184998
115,0.214037
116,0.143493
117,0.087968
118,0.111149
119,0.101535
120,0.056739
121,0.035298
122,0.079855
123,0.014716
124,0.102583
125,0.029046
126,0.075284
127,0.059777
128,0.069789
129,0.052117
130,0.074787
131,0.019229
132,0.090326
133,0.029039
134,0.061037
135,0.068011
136,0.051219
137,0.045769
138,0.072971
139,0.029333
140,0.060914
141,0.061460
142,0.040054
143,0.056710
144,0.064084
145,0.036617
146,0.056558
147,0.066208
148,0.034319
149,0.056904
150,0.066526
151,0.042901
152,0.046757
153,0.076970
154,0.034724
155,0.051970
156,0.076841
157,0.051117
158,0.034830
159,0.080689
160,0.042693
161,0.047923
162,0.064585
163,0.062107
164,0.026052
165,0.070330
166,0.053827
167,0.048703
168,0.050673
169,0.073666
170,0.024109
171,0.063657
172,0.064140
173,0.053342
174,0.039253
175,0.083942
176,0.026801
177,0.061096
178,0.071841
179,0.059247
180,0.030813
181,0.091735
182,0.029305
183,0.062178
184,0.072884
185,0.064541
186,0.025883
187,0.093252
188,0.028508
189,0.066212
190,0.072450
191,0.068491
192,0.025936
193,0.097085
194,0.022657
195,0.073191
196,0.067599
197,0.071668
198,0.033395
199,0.094578
200,0.010771
201,0.082307
202,0.054066
203,0.069421
204,0.049521
205,0.080285
206,0.010639
207,0.088058
208,0.034355
209,0.064688
210,0.074006
211,0.061893
212,0.037203
213,0.080719
214,0.019153
215,0.072164
216,0.047572
217,0.050992
218,0.070784
219,0.129410
220,0.040999
221,0.094985
222,0.032053
223,0.063103
224,0.110019
225,0.163765
226,0.079433
227,0.038582
228,0.054780
229,0.061886
230,0.045614
231,0.062755
232,0.058839
233,0.032430
234,0.084073
235,0.020012
236,0.074135
237,0.043799
238,0.062474
239,0.072652
240,0.066650
241,0.040360
242,0.118426
243,0.143340
244,0.097145
245,0.122001
246,0.077134
247,0.090674
248,0.065611
249,0.148752
250,0.131846
251,0.174447
252,0.103236
253,0.017474
254,0.076796
255,0.114740
256,0.055267
257,0.086423
258,0.100572
259,0.060524
260,0.118158
261,0.172320
262,0.089415
263,0.144965
264,0.124849
265,0.118995
266,0.172057
267,0.209735
268,0.143613
269,0.204704
270,0.115596
271,0.062472
272,0.088026
273,0.084948
274,0.060924
275,0.136553
276,0.034316
277,0.117315
278,0.153992
279,0.098278
280,0.128984
281,0.200379
282,0.104840
283,0.175827
284,0.226627
285,0.275458
286,0.060651
287,0.128510
288,0.174920
289,0.139656
290,0.160916
291,0.223174
292,0.227759
293,0.201109
294,0.220577
295,0.213216
296,0.244775
297,0.158420
298,0.117746
299,0.137783
300,0.208652
301,0.117631
302,0.192049
303,0.243648
304,0.177315
305,0.224686
306,0.265236
307,0.206216
308,0.149860
309,0.188267
310,0.139106
311,0.170886
312,0.238664
313,0.154151
314,0.220043
315,0.281806
316,0.226263
317,0.265340
318,0.263344
319,0.141080
320,0.235824
321,0.233776
322,0.194519
323,0.218755
324,0.130013
325,0.210146
326,0.258259
327,0.331126
328,0.241235
329,0.173940
330,0.224344
331,0.295153
332,0.207580
333,0.277070
334,0.252055
335,0.258869
336,0.243573
337,0.240508
338,0.158228
339,0.221947
340,0.173850
341,0.267546
342,0.283063
343,0.328996
344,0.394808
345,0.206793
346,0.233825
347,0.290342
348,0.223467
349,0.270446
350,0.199508
351,0.250126
352,0.182606
353,0.229356
354,0.166135
355,0.167156
356,0.240795
357,0.245576
358,0.263347
359,0.309360
360,0.229700
361,0.220671
362,0.205203
363,0.210330
364,0.204791
365,0.238165
366,0.153831
367,0.234580
368,0.270593
369,0.331096
370,0.242772
371,0.162033
372,0.214046
373,0.136396
374,0.184401
375,0.248121
376,0.153821
377,0.219337
378,0.267778
379,0.330933
380,0.089794
381,0.161415
382,0.154265
383,0.133518
384,0.167649
385,0.108302
386,0.132346
387,0.198505
388,0.181001
389,0.171108
390,0.204301
391,0.127320
392,0.165991
393,0.092989
394,0.126803
395,0.064075
396,0.087024
397,0.146738
398,0.048007
399,0.107047
400,0.147511
401,0.202319
402,0.104574
403,0.158556
404,0.062389
405,0.114610
406,0.030781
407,0.072396
408,0.111604
409,0.104987
410,0.066525
411,0.113137
412,0.034517
413,0.066977
414,0.107255
415,0.108158
416,0.059933
417,0.100602
418,0.109329
419,0.116149
420,0.090393
421,0.131196
422,0.110651
423,0.075839
424,0.116374
425,0.035298
426,0.061574
427,0.096030
428,0.108543
429,0.042787
430,0.075267
431,0.054150
432,0.037842
433,0.050290
434,0.081119
435,0.049936
436,0.036692
437,0.052927
438,0.080221
439,0.052428
440,0.034926
441,0.049989
442,0.073440
443,0.062053
444,0.035925
445,0.044177
446,0.056374
447,0.080472
448,0.048404
449,0.045367
450,0.033489
451,0.065816
452,0.076148
453,0.066129
454,0.030518
455,0.050709
456,0.036958
457,0.075380
458,0.071260
459,0.071935
460,0.029698
461,0.057667
462,0.021650
463,0.070105
464,0.055920
465,0.096160
466,0.056316
467,0.076439
468,0.024103
469,0.069044
470,0.006437
471,0.074006
472,0.031815
473,0.083513
474,0.054766
475,0.094089
476,0.071667
477,0.090399
478,0.055861
479,0.078384
480,0.043921
481,0.069278
482,0.036127
483,0.062563
484,0.032505
485,0.057713
486,0.032539
487,0.054416
488,0.035479
489,0.052830
490,0.040951
491,0.053688
492,0.049100
493,0.058098
494,0.060305
495,0.067009
496,0.074914
497,0.079387
498,0.074353
499,0.059464
500,0.058744
501,0.038269
502,0.048060
503,0.025310
504,0.051953
505,0.041315
506,0.072827
507,0.073474
508,0.076928
509,0.040052
510,0.056483
511,0.019301
512,0.064582
513,0.058403
514,0.086093
515,0.040823
516,0.059109
517,0.022756
518,0.075016
519,0.070039
520,0.094697
521,0.015172
522,0.064778
523,0.064171
524,0.074945
525,0.019660
526,0.061922
527,0.066253
528,0.069173
529,0.144985
530,0.065662
531,0.084674
532,0.134863
533,0.034445
534,0.083782
535,0.040737
536,0.046449
537,0.074010
538,0.122470
539,0.170945
540,0.080248
541,0.162860
542,0.181539
543,0.212876
544,0.145888
545,0.208333
546,0.259379
547,0.182855
548,0.163078
549,0.165887
550,0.159744
551,0.143603
552,0.234217
553,0.262387
554,0.241468
555,0.248158
556,0.241460
557,0.238113
558,0.308109
559,0.260122
560,0.362511
561,0.266026
562,0.172650
563,0.235155
564,0.183845
565,0.290817
566,0.199595
567,0.257464
568,0.353691
569,0.420506
570,0.376544
571,0.299419
572,0.232321
573,0.327467
574,0.400681
575,0.350360
576,0.435179
577,0.350901
578,0.329060
579,0.390821
580,0.370559
581,0.434623
582,0.409237
583,0.482351
584,0.404908
585,0.408524
586,0.458813
587,0.385216
588,0.411896
589,0.445534
590,0.471522
591,0.509806
592,0.443348
593,0.490155
594,0.513897
595,0.452790
596,0.395648
597,0.528633
598,0.473947
599,0.480420
600,0.530472
601,0.506461
602,0.507931
603,0.569265
604,0.597128
605,0.547060
606,0.500867
607,0.627254
608,0.597168
609,0.556527
610,0.664216
611,0.657617
612,0.622173
613,0.623858
614,0.586691
615,0.691098
616,0.697854
617,0.665979
618,0.638290
619,0.642408
620,0.613226
621,0.588428
622,0.736728
623,0.700663
624,0.661986
625,0.676757
626,0.675748
627,0.639587
628,0.649971
629,0.658220
630,0.747976
631,0.779204
632,0.773314
633,0.747112
634,0.774450
635,0.781570
636,0.758782
637,0.739058
638,0.782214
639,0.783394
640,0.767389
641,0.805320
642,0.821359
643,0.809360
644,0.800595
645,0.851681
646,0.850590
647,0.740674
648,0.735718
649,0.776966
650,0.816414
651,0.816207
652,0.851366
653,0.903120
654,0.911832
655,0.801316
656,0.823579
657,0.887208
658,0.910469
659,0.930710
660,0.927310
661,0.901429
662,0.929812
663,0.862136
664,0.857078
665,0.892604
666,0.918030
667,0.884254
668,0.921916
669,0.962631
670,0.937298
671,0.977207
672,1.020380
673,1.004927
674,0.983995
675,0.983254
676,0.912591
677,0.957140
678,1.009045
679,1.036667
680,1.053894
681,1.029055
682,1.049079
683,0.930080
684,0.920971
685,0.990943
686,0.995206
687,1.006772
688,1.030367
689,0.985885
690,1.047171
691,1.017319
692,0.984999
693,1.045639
694,1.067021
695,1.114654
696,1.092519
697,1.012762
698,0.956351
699,0.941573
700,1.004560
701,1.028181
702,1.025114
703,0.941090
704,0.937808
705,0.934023
706,0.939874
707,0.950662
708,0.877743
709,0.905069
710,0.945336
711,0.934613
712,0.863380
